,year,enroll
806,2020,30.0
807,2019,30.0
808,2012,30.0
809,2012,30.0
810,2019,30.0
811,2014,30.0
812,2020,30.0
813,2012,30.0
814,2010,30.0
815,2016,30.0
816,2014,30.0
817,2017,30.0
818,2012,30.0
819,2011,30.0
820,2021,30.0
821,2022,30.0
822,2015,30.0
823,2010,30.0
824,2019,30.0
825,2021,30.0
826,2018,30.0
827,2014,30.0
828,2017,30.0
829,2015,30.0
830,2018,30.0
831,2013,30.0
832,2020,30.0
833,2019,30.0
834,2017,30.0
835,2022,30.0
836,2017,30.0
837,2018,30.0
838,2016,30.0
839,2015,30.0
840,2012,30.0
841,2015,30.0
842,2022,30.0
843,2021,30.0
844,2021,30.0
845,2022,30.0
846,2020,30.0
847,2014,30.0
848,2020,30.0
849,2015,30.0
850,2012,30.0
851,2010,30.0
852,2019,30.0
853,2019,30.0
854,2008,30.0
855,2018,30.0
856,2011,30.0
857,2018,30.0
858,2016,30.0
859,2012,30.0
860,2015,30.0
861,2022,30.0
862,2012,30.0
863,2012,30.0
864,2020,30.0
865,2019,30.0
866,2016,30.0
867,2016,30.0
868,2012,30.0
869,2013,30.0
870,2019,30.0
871,2020,30.0
872,2020,30.0
873,2015,30.0
874,2020,30.0
875,2010,30.0
876,2012,30.0
877,2018,30.0
878,2015,30.0
879,2021,30.0
880,2021,30.0
881,2021,30.0
882,2006,30.0
883,2015,30.0
884,2016,30.0
885,2015,30.0
886,2010,30.0
887,2020,30.0
888,2021,30.0
889,2012,30.0
890,2009,30.0
891,2018,30.0
892,2010,31.0
893,2005,31.0
894,2015,31.0
895,2019,31.0
896,2017,31.0
897,2009,31.0
898,2005,32.0
899,2014,32.0
900,2010,32.0
901,2016,32.0
902,2017,32.0
903,2020,32.0
904,2019,32.0
905,2020,33.0
906,2018,33.0
907,2016,33.0
908,2010,33.0
909,2011,33.0
910,2019,34.0
911,2019,34.0
912,2016,34.0
913,2000,34.0
914,2015,35.0
915,2000,35.0
916,2008,35.0
917,2015,35.0
918,2020,35.0
919,2018,35.0
920,2017,35.0
921,2013,35.0
922,2016,36.0
923,2007,36.0
924,2022,36.0
925,2022,36.0
926,2019,36.0
927,2022,36.0
928,2022,36.0
929,2020,36.0
930,2007,36.0
931,2020,36.0
932,2011,37.0
933,2009,37.0
934,2021,38.0
935,2014,38.0
936,2019,38.0
937,2020,38.0
938,2011,38.0
939,2010,39.0
940,2023,39.0
941,2018,39.0
942,2019,39.0
943,2021,40.0
944,2013,40.0
945,2021,40.0
946,2012,40.0
947,2014,40.0
948,2016,40.0
949,2012,40.0
950,2010,40.0
951,2017,40.0
952,2019,40.0
953,2020,40.0
954,2020,40.0
955,2016,40.0
956,2020,40.0
957,2020,40.0
958,2012,40.0
959,2019,40.0
960,2015,40.0
961,2017,40.0
962,2016,40.0
963,2020,40.0
964,2020,40.0
965,2018,40.0
966,2022,40.0
967,2013,40.0
968,2012,40.0
969,2022,40.0
970,2015,40.0
971,2019,40.0
972,2022,40.0
973,2017,40.0
974,2014,40.0
975,2014,40.0
976,2020,40.0
977,2022,40.0
978,2012,40.0
979,2012,40.0
980,2021,40.0
981,2022,40.0
982,2022,40.0
983,2018,40.0
984,2021,40.0
985,2015,40.0
986,2019,40.0
987,2017,40.0
988,2016,40.0
989,2016,40.0
990,2016,40.0
991,2020,40.0
992,2021,40.0
993,2021,40.0
994,2020,40.0
995,2020,40.0
996,2018,40.0
997,2015,40.0
998,2022,40.0
999,2022,40.0
1000,2022,41.0
1001,2018,42.0
1002,2022,42.0
1003,2021,42.0
1004,2014,42.0
1005,2021,42.0
1006,2019,43.0
1007,2020,43.0
1008,2020,43.0
1009,2008,43.0
1010,2018,44.0
1011,2017,44.0
1012,2009,44.0
1013,2020,44.0
1014,2021,44.0
1015,2021,44.0
1016,2017,45.0
1017,2022,45.0
1018,2018,45.0
1019,2021,45.0
1020,2020,45.0
1021,2019,45.0
1022,2020,45.0
1023,2020,45.0
1024,2019,46.0
1025,2015,46.0
1026,2019,46.0
1027,2014,46.0
1028,2017,46.0
1029,2017,46.0
1030,2015,46.0
1031,2013,47.0
1032,2020,47.0
1033,2014,48.0
1034,2015,48.0
1035,2020,48.0
1036,2019,48.0
1037,2021,48.0
1038,2020,48.0
1039,2021,48.0
1040,2013,48.0
1041,2016,48.0
1042,2017,48.0
1043,2013,49.0
1044,2004,49.0
1045,2020,50.0
1046,2017,50.0
1047,2016,50.0
1048,2009,50.0
1049,2010,50.0
1050,2011,50.0
1051,2013,50.0
1052,2018,50.0
1053,2010,50.0
1054,2011,50.0
1055,2018,50.0
1056,2010,50.0
1057,2010,50.0
1058,2007,50.0
1059,2018,50.0
1060,2012,50.0
1061,2008,50.0
1062,2012,50.0
1063,2014,50.0
1064,2009,50.0
1065,2017,50.0
1066,2016,50.0
1067,2014,50.0
1068,2011,50.0
1069,2020,50.0
1070,2020,50.0
1071,2011,50.0
1072,2020,50.0
1073,2016,50.0
1074,2011,50.0
1075,2013,50.0
1076,2015,50.0
1077,2018,50.0
1078,2015,50.0
1079,2010,50.0
1080,2015,50.0
1081,2012,50.0
1082,2012,50.0
1083,2021,50.0
1084,2022,50.0
1085,2008,50.0
1086,2012,50.0
1087,2017,51.0
1088,2003,52.0
1089,2014,52.0
1090,2009,52.0
1091,2021,52.0
1092,2020,52.0
1093,2014,52.0
1094,2011,53.0
1095,2013,53.0
1096,2020,53.0
1097,2020,54.0
1098,2020,54.0
1099,2022,54.0
1100,2020,54.0
1101,2016,54.0
1102,2021,54.0
1103,2022,54.0
1104,2008,55.0
1105,2015,55.0
1106,2023,55.0
1107,2020,55.0
1108,2021,55.0
1109,2020,56.0
1110,2018,56.0
1111,2019,56.0
1112,2014,57.0
1113,2018,57.0
1114,2019,57.0
1115,2016,58.0
1116,2008,59.0
1117,2015,59.0
1118,2008,60.0
1119,2014,60.0
1120,2020,60.0
1121,2022,60.0
1122,2015,60.0
1123,2022,60.0
1124,2021,60.0
1125,2018,60.0
1126,2012,60.0
1127,2019,60.0
1128,2021,60.0
1129,2016,60.0
1130,2015,60.0
1131,2010,60.0
1132,2022,60.0
1133,2017,60.0
1134,2006,60.0
1135,2017,60.0
1136,2021,60.0
1137,2018,60.0
1138,2019,60.0
1139,2021,60.0
1140,2022,60.0
1141,2008,60.0
1142,2018,60.0
1143,2010,60.0
1144,2017,60.0
1145,2013,60.0
1146,2022,60.0
1147,2014,60.0
1148,2018,60.0
1149,2016,60.0
1150,2005,60.0
1151,2019,60.0
1152,2017,60.0
1153,2019,60.0
1154,2005,60.0
1155,2021,60.0
1156,2020,60.0
1157,2015,60.0
1158,2011,60.0
1159,2023,60.0
1160,2014,60.0
1161,2018,60.0
1162,2022,60.0
1163,2011,60.0
1164,2013,60.0
1165,2020,60.0
1166,2020,60.0
1167,2013,60.0
1168,2020,60.0
1169,2020,60.0
1170,2020,60.0
1171,2019,60.0
1172,2009,60.0
1173,2014,60.0
1174,2012,60.0
1175,2011,60.0
1176,2011,60.0
1177,2017,60.0
1178,2021,60.0
1179,2009,60.0
1180,2010,60.0
1181,2021,60.0
1182,2019,60.0
1183,2012,61.0
1184,2014,62.0
1185,2016,62.0
1186,2008,62.0
1187,2019,62.0
1188,2008,63.0
1189,2020,64.0
1190,2016,64.0
1191,2014,65.0
1192,2008,65.0
1193,2010,65.0
1194,2012,66.0
1195,2019,66.0
1196,2019,66.0
1197,2014,66.0
1198,2021,66.0
1199,2022,66.0
1200,2019,66.0
1201,2020,66.0
1202,2011,68.0
1203,2013,69.0
1204,2012,69.0
1205,2015,69.0
1206,2015,69.0
1207,2007,70.0
1208,2021,70.0
1209,2013,70.0
1210,2009,70.0
1211,2014,70.0
1212,2020,70.0
1213,2020,70.0
1214,2019,70.0
1215,2012,72.0
1216,2013,72.0
1217,2020,72.0
1218,2011,72.0
1219,2010,73.0
1220,2017,74.0
1221,2022,74.0
1222,2018,75.0
1223,2022,75.0
1224,2014,75.0
1225,2021,76.0
1226,2022,76.0
1227,2021,78.0
1228,2005,80.0
1229,2007,80.0
1230,2018,80.0
1231,2013,80.0
1232,2021,80.0
1233,2016,80.0
1234,2010,80.0
1235,2019,80.0
1236,2022,80.0
1237,2022,80.0
1238,2018,80.0
1239,2021,80.0
1240,2009,80.0
1241,2012,80.0
1242,2023,81.0
1243,2018,81.0
1244,2012,82.0
1245,2003,82.0
1246,2017,82.0
1247,2018,84.0
1248,2016,84.0
1249,2019,84.0
1250,2020,86.0
1251,2021,90.0
1252,2020,90.0
1253,2013,90.0
1254,2015,90.0
1255,2021,90.0
1256,2016,90.0
1257,2012,90.0
1258,2015,90.0
1259,2016,90.0
1260,2020,90.0
1261,2022,90.0
1262,2020,90.0
1263,2018,91.0
1264,2020,91.0
1265,2016,93.0
1266,2014,94.0
1267,2007,98.0
1268,2007,98.0
1269,2022,99.0
1270,2013,100.0
1271,2020,100.0
1272,2013,100.0
1273,2016,100.0
1274,2011,100.0
1275,2017,100.0
1276,2008,100.0
1277,2020,100.0
1278,2018,100.0
1279,2015,100.0
1280,2012,100.0
1281,2017,100.0
1282,2017,100.0
1283,2023,100.0
1284,2019,100.0
1285,2015,100.0
1286,2016,100.0
1287,2020,100.0
1288,2021,100.0
1289,2022,100.0
1290,2013,100.0
1291,2011,100.0
1292,2019,100.0
1293,2011,100.0
1294,2020,100.0
1295,2018,100.0
1296,2016,100.0
1297,2017,100.0
1298,2012,100.0
1299,2014,100.0
1300,2016,100.0
1301,2020,100.0
1302,2021,100.0
1303,2018,102.0
1304,2020,102.0
1305,2013,103.0
1306,2012,103.0
1307,2009,104.0
1308,2017,105.0
1309,2009,106.0
1310,2022,106.0
1311,2013,106.0
1312,2021,107.0
1313,2017,108.0
1314,2020,108.0
1315,2006,110.0
1316,2016,110.0
1317,2012,112.0
1318,2018,114.0
1319,2021,115.0
1320,2018,115.0
1321,2016,116.0
1322,2019,120.0
1323,2020,120.0
1324,2019,120.0
1325,2018,120.0
1326,2011,120.0
1327,2014,120.0
1328,2014,120.0
1329,2020,120.0
1330,2015,120.0
1331,2021,120.0
1332,2014,120.0
1333,2016,120.0
1334,2021,120.0
1335,2015,120.0
1336,2013,120.0
1337,2012,120.0
1338,2014,120.0
1339,2021,120.0
1340,2014,120.0
1341,2022,120.0
1342,2012,120.0
1343,2018,124.0
1344,2015,125.0
1345,2020,129.0
1346,2019,129.0
1347,2014,130.0
1348,2021,130.0
1349,2022,130.0
1350,2022,135.0
1351,2021,136.0
1352,2010,140.0
1353,2016,140.0
1354,2017,140.0
1355,2021,140.0
1356,2017,150.0
1357,2020,150.0
1358,2013,150.0
1359,2017,150.0
1360,2020,150.0
1361,2021,152.0
1362,2012,156.0
1363,2022,158.0
1364,2005,158.0
1365,2020,160.0
1366,2011,160.0
1367,2018,160.0
1368,2018,164.0
1369,2020,164.0
1370,2008,165.0
1371,2020,169.0
1372,2019,180.0
1373,2022,182.0
1374,2008,192.0
1375,2016,200.0
1376,2015,200.0
1377,2021,200.0
1378,2017,200.0
1379,2019,200.0
1380,2014,200.0
1381,2021,200.0
1382,2013,200.0
1383,2009,200.0
1384,2021,200.0
1385,2021,200.0
1386,2022,200.0
1387,2022,200.0
1388,2018,200.0
1389,2020,200.0
1390,2018,200.0
1391,2017,200.0
1392,2020,210.0
1393,2013,210.0
1394,2009,220.0
1395,2020,223.0
1396,2018,230.0
1397,2021,240.0
1398,2015,240.0
1399,2021,240.0
1400,2022,240.0
1401,2021,240.0
1402,2012,240.0
1403,2016,240.0
1404,2019,242.0
1405,2016,250.0
1406,2017,250.0
1407,2021,252.0
1408,2018,252.0
1409,2016,260.0
1410,2022,260.0
1411,2019,260.0
1412,2016,261.0
1413,2021,263.0
1414,2009,266.0
1415,2012,278.0
1416,2019,300.0
1417,2022,300.0
1418,2019,300.0
1419,2012,300.0
1420,2019,300.0
1421,2011,300.0
1422,2019,300.0
1423,2013,300.0
1424,2020,300.0
1425,2022,300.0
1426,2020,306.0
1427,2012,315.0
1428,2014,320.0
1429,2016,320.0
1430,2007,330.0
1431,2022,400.0
1432,2019,480.0
1433,2016,500.0
1434,2014,566.0
1435,2020,600.0
1436,2018,700.0
1437,2020,5000.0
1438,2008,nan
1439,2009,nan
1440,2012,nan
1441,2019,nan
1442,2019,nan
1443,2019,nan
1444,2021,nan
1445,2022,nan
1446,2019,nan
1447,2020,nan
1448,2020,nan
1449,2020,nan
1450,2022,nan
1451,2020,nan
1452,2020,nan
1453,2020,nan
1454,2020,nan
1455,2021,nan
1456,2021,nan
1457,2021,nan
1458,2021,nan
1459,2021,nan
1460,2021,nan
1461,2022,nan
