,nctids
1213,NCT04692376
1214,NCT04706312
1215,NCT04711200
1216,NCT04711811
1217,NCT04713878
1218,NCT04714801
1219,NCT04716803
1220,NCT04723303
1221,NCT04728698
1222,NCT04738981
1223,NCT04739930
1224,NCT04744051
1225,NCT04744116
1226,NCT04746599
1227,NCT04749667
1228,NCT04749758
1229,NCT04750499
1230,NCT04753476
1231,NCT04758533
1232,NCT04759105
1233,NCT04763369
1234,NCT04772378
1235,NCT04776239
1236,NCT04776538
1237,NCT04780685
1238,NCT04785027
1239,NCT04791878
1240,NCT04798066
1241,NCT04798716
1242,NCT04811651
1243,NCT04815213
1244,NCT04821102
1245,NCT04821479
1246,NCT04822922
1247,NCT04823000
1248,NCT04825613
1249,NCT04825626
1250,NCT04825730
1251,NCT04834609
1252,NCT04835883
1253,NCT04847739
1254,NCT04850469
1255,NCT04855955
1256,NCT04863183
1257,NCT04865107
1258,NCT04869397
1259,NCT04869761
1260,NCT04876326
1261,NCT04877067
1262,NCT04883502
1263,NCT04888949
1264,NCT04889963
1265,NCT04893174
1266,NCT04896853
1267,NCT04898088
1268,NCT04903327
1269,NCT04905836
1270,NCT04909879
1271,NCT04909892
1272,NCT04914403
1273,NCT04918706
1274,NCT04919135
1275,NCT04925024
1276,NCT04928287
1277,NCT04939077
1278,NCT04939337
1279,NCT04951882
1280,NCT04953572
1281,NCT04953663
1282,NCT04954534
1283,NCT04956744
1284,NCT04961658
1285,NCT04971161
1286,NCT04971980
1287,NCT04972890
1288,NCT04976140
1289,NCT04990128
1290,NCT04992247
1291,NCT04992832
1292,NCT04995081
1293,NCT04996966
1294,NCT04998058
1295,NCT04998461
1296,NCT05000593
1297,NCT05003388
1298,NCT05003908
1299,NCT05003921
1300,NCT05003934
1301,NCT05003947
1302,NCT05003960
1303,NCT05008588
1304,NCT05011474
1305,NCT05016011
1306,NCT05016804
1307,NCT05016817
1308,NCT05017298
1309,NCT05018637
1310,NCT05018754
1311,NCT05018767
1312,NCT05018793
1313,NCT05018819
1314,NCT05018832
1315,NCT05018845
1316,NCT05018858
1317,NCT05018871
1318,NCT05027581
1319,NCT05035862
1320,NCT05039411
1321,NCT05042206
1322,NCT05043610
1323,NCT05054803
1324,NCT05060107
1325,NCT05061030
1326,NCT05066334
1327,NCT05075811
1328,NCT05078385
1329,NCT05080465
1330,NCT05081921
1331,NCT05086939
1332,NCT05092724
1333,NCT05093725
1334,NCT05094011
1335,NCT05095532
1336,NCT05106972
1337,NCT05113342
1338,NCT05116540
1339,NCT05116761
1340,NCT05121870
1341,NCT05122234
1342,NCT05125562
1343,NCT05126563
1344,NCT05127122
1345,NCT05130983
1346,NCT05131412
1347,NCT05132972
1348,NCT05147675
1349,NCT05147688
1350,NCT05147701
1351,NCT05147766
1352,NCT05147779
1353,NCT05151133
1354,NCT05152160
1355,NCT05152290
1356,NCT05152368
1357,NCT05152381
1358,NCT05152394
1359,NCT05154851
1360,NCT05155657
1361,NCT05157958
1362,NCT05158101
1363,NCT05158114
1364,NCT05158127
1365,NCT05158439
1366,NCT05158933
1367,NCT05160831
1368,NCT05165017
1369,NCT05165628
1370,NCT05167188
1371,NCT05167552
1372,NCT05167721
1373,NCT05176366
1374,NCT05177003
1375,NCT05182034
1376,NCT05187936
1377,NCT05191381
1378,NCT05193877
1379,NCT05204329
1380,NCT05207995
1381,NCT05210309
1382,NCT05215288
1383,NCT05216562
1384,NCT05224960
1385,NCT05227846
1386,NCT05240430
1387,NCT05243368
1388,NCT05261360
1389,NCT05262829
1390,NCT05270850
1391,NCT05274295
1392,NCT05276895
1393,NCT05279157
1394,NCT05279768
1395,NCT05280002
1396,NCT05283317
1397,NCT05284604
1398,NCT05286255
1399,NCT05288725
1400,NCT05292625
1401,NCT05305833
1402,NCT05308342
1403,NCT05308836
1404,NCT05315661
1405,NCT05319106
1406,NCT05322057
1407,NCT05329662
1408,NCT05330416
1409,NCT05331872
1410,NCT05333029
1411,NCT05333406
1412,NCT05338099
1413,NCT05344157
1414,NCT05345418
1415,NCT05349565
1416,NCT05354141
1417,NCT05362786
1418,NCT05385159
1419,NCT05387278
1420,NCT05402748
1421,NCT05407766
1422,NCT05413148
1423,NCT05433298
1424,NCT05442437
1425,NCT05443464
1426,NCT05447767
1427,NCT05453292
1428,NCT05456243
1429,NCT05464381
1430,NCT05465096
1431,NCT05468502
1432,NCT05484856
1433,NCT05488093
1434,NCT05490173
1435,NCT05491135
1436,NCT05491681
1437,NCT05494723
1438,NCT05495711
1439,NCT05497401
1440,NCT05499156
1441,NCT05501418
1442,NCT05507697
1443,NCT05507762
1444,NCT05508191
1445,NCT05512988
1446,NCT05520086
1447,NCT05520112
1448,NCT05520125
1449,NCT05521672
1450,NCT05522569
1451,NCT05523011
1452,NCT05531266
1453,NCT05532943
1454,NCT05535803
1455,NCT05549609
1456,NCT05553132
1457,NCT05559801
