,Last Update Posted,count,enrolled
765,"June 17, 2008",1,20
766,"June 18, 2020",1,20
767,"April 10, 2020",1,20
768,"February 10, 2021",1,20
769,"March 10, 2021",1,20
770,"April 18, 2022",1,20
771,"September 1, 2021",1,20
772,"March 6, 2019",1,20
773,"August 3, 2020",1,20
774,"May 23, 2016",1,20
775,"February 5, 2014",1,20
776,"November 15, 2021",1,20
777,"May 16, 2013",1,20
778,"June 11, 2010",1,24
779,"May 31, 2022",1,24
780,"April 28, 2011",1,24
781,"December 7, 2020",1,24
782,"April 4, 2013",1,25
783,"February 4, 2015",1,25
784,"February 12, 2019",1,26
785,"September 4, 2019",1,26
786,"May 14, 2021",1,26
787,"December 21, 2021",1,26
788,"January 8, 2015",1,27
789,"August 4, 2011",1,27
790,"February 11, 2022",1,27
791,"September 3, 2019",1,27
792,"July 21, 2017",1,27
793,"December 5, 2014",1,27
794,"June 17, 2020",1,27
795,"August 5, 2021",1,28
796,"September 28, 2016",1,28
797,"February 28, 2022",1,28
798,"December 17, 2018",1,28
799,"February 17, 2010",1,25
800,"May 1, 2009",1,25
801,"July 6, 2007",1,25
802,"November 18, 2013",1,24
803,"August 4, 2021",1,24
804,"July 5, 2018",1,24
805,"March 16, 2021",1,24
806,"December 6, 2021",1,24
807,"October 19, 2021",1,24
808,"July 21, 2022",1,24
809,"April 22, 2019",1,24
810,"March 30, 2016",1,24
811,"December 15, 2015",1,25
812,"January 27, 2020",1,24
813,"June 14, 2010",1,24
814,"July 12, 2022",1,24
815,"December 31, 2018",1,25
816,"March 22, 2012",1,25
817,"December 22, 2021",1,25
818,"May 5, 2017",1,25
819,"October 19, 2020",1,20
820,"August 18, 2014",1,20
821,"May 11, 2017",1,20
822,"May 22, 2013",1,15
823,"February 25, 2022",1,15
824,"March 22, 2007",1,15
825,"January 16, 2019",1,15
826,"March 13, 2019",1,15
827,"December 11, 2015",1,15
828,"March 11, 2016",1,15
829,"November 10, 2020",1,15
830,"October 10, 2012",1,15
831,"January 7, 2013",1,15
832,"April 4, 2018",1,15
833,"August 31, 2017",1,15
834,"December 6, 2019",1,15
835,"March 20, 2012",1,15
836,"July 1, 2021",1,15
837,"June 2, 2017",1,15
838,"May 6, 2021",1,15
839,"January 6, 2021",1,15
840,"April 28, 2022",1,15
841,"October 1, 2012",1,14
