,NCT Number,count,enrolled
341,NCT04956744,1,30
342,NCT04776239,1,30
343,NCT05207995,1,30
344,NCT04491240,1,30
345,NCT05283317,1,30
346,NCT04918706,1,30
347,NCT04314011,1,30
348,NCT02315027,1,30
349,NCT02123368,1,30
350,NCT03180463,1,30
351,NCT02491658,1,30
352,NCT01754454,1,30
353,NCT02767817,1,30
354,NCT01399749,1,30
355,NCT02287831,1,30
356,NCT05280002,1,30
357,NCT00646724,1,30
358,NCT03840343,1,30
359,NCT03943576,1,30
360,NCT01056471,1,30
361,NCT01586312,1,30
362,NCT02646007,1,30
363,NCT03460795,1,30
364,NCT02162693,1,53
365,NCT04216849,1,54
366,NCT04341610,1,0
367,NCT04738981,1,130
368,NCT03042143,1,129
369,NCT04427930,1,129
370,NCT02501811,1,125
371,NCT03047772,1,124
372,NCT01724398,1,120
373,NCT05288725,1,120
374,NCT02083718,1,120
375,NCT05086939,1,120
376,NCT02492308,1,120
377,NCT01709656,1,120
378,NCT02854579,1,120
379,NCT02561767,1,120
380,NCT02968459,1,120
381,NCT02763748,1,120
382,NCT02492490,1,120
383,NCT04776538,1,120
384,NCT02563366,1,120
385,NCT04247945,1,120
386,NCT02083731,1,120
387,NCT02291770,1,130
388,NCT05329662,1,130
389,NCT01322906,1,120
390,NCT05413148,1,135
391,NCT04089579,1,164
392,NCT03370874,1,164
393,NCT03838146,1,160
394,NCT01291329,1,160
395,NCT02368587,1,160
396,NCT00956891,1,158
397,NCT05345418,1,158
398,NCT01602328,1,156
399,NCT04692376,1,152
400,NCT04297813,1,150
401,NCT03233074,1,150
402,NCT01926327,1,150
403,NCT05210309,1,150
404,NCT03169231,1,150
405,NCT04368806,1,140
406,NCT03668145,1,140
407,NCT05484856,1,140
408,NCT01413061,1,140
409,NCT04476901,1,136
410,NCT02240992,1,120
411,NCT03397095,1,120
412,NCT02025270,1,100
413,NCT04903327,1,100
414,NCT03123458,1,100
415,NCT01984450,1,100
416,NCT01526850,1,100
417,NCT03378063,1,100
418,NCT02853942,1,100
419,NCT03887208,1,100
420,NCT04348461,1,100
421,NCT01290367,1,100
422,NCT03869229,1,100
423,NCT01661842,1,100
424,NCT01954147,1,100
425,NCT04990128,1,100
426,NCT04675359,1,100
427,NCT04520945,1,100
428,NCT02838069,1,100
429,NCT02448121,1,100
430,NCT03866330,1,100
431,NCT04482413,1,100
432,NCT03321942,1,100
433,NCT04288102,1,100
434,NCT02481440,1,102
435,NCT03818854,1,120
436,NCT04310215,1,102
437,NCT04493242,1,120
438,NCT04093336,1,120
439,NCT02966717,1,116
440,NCT03418233,1,115
441,NCT04745299,1,115
442,NCT03369275,1,114
443,NCT02372474,1,112
444,NCT04219657,1,110
445,NCT00629018,1,110
446,NCT04208646,1,108
447,NCT03795974,1,108
448,NCT05131412,1,107
449,NCT01781390,1,106
450,NCT04735185,1,106
451,NCT00988338,1,106
452,NCT03404063,1,105
453,NCT01041001,1,104
454,NCT01626677,1,103
455,NCT02302599,1,103
456,NCT00658073,1,165
457,NCT04602104,1,169
458,NCT03645525,1,180
