,First Posted,count,enrolled
783,"September 30, 2011",1,3
784,"July 1, 2016",1,3
785,"February 3, 2010",1,4
786,"January 15, 2016",1,4
787,"July 23, 2008",1,4
788,"June 25, 2018",1,4
789,"July 31, 2014",1,4
790,"February 8, 2020",1,4
791,"August 15, 2012",1,4
792,"April 1, 2019",1,4
793,"February 23, 2017",1,4
794,"September 9, 2016",1,5
795,"November 7, 2012",1,5
796,"December 13, 2012",1,5
797,"January 31, 2019",1,5
798,"November 15, 2018",1,5
799,"August 19, 2015",1,5
800,"February 13, 2018",1,1
801,"August 9, 2007",1,1
802,"January 20, 2017",1,1
803,"April 7, 2020",1,0
804,"August 23, 2019",1,0
805,"January 3, 2020",1,0
806,"March 13, 2018",1,0
807,"December 29, 2012",1,0
808,"August 22, 2018",1,0
809,"September 8, 2020",1,0
810,"April 24, 2013",1,0
811,"April 7, 2004",1,0
812,"January 24, 2008",1,0
813,"October 14, 2015",1,0
814,"April 6, 2014",1,0
815,"May 6, 2013",1,0
816,"January 26, 2021",1,0
817,"August 1, 2016",1,1
818,"January 23, 2017",1,0
819,"January 22, 2015",1,0
820,"December 17, 2008",1,0
821,"March 27, 2015",1,0
822,"May 21, 2017",1,0
823,"April 23, 2020",1,0
824,"August 6, 2013",1,0
825,"January 11, 2011",1,0
826,"June 10, 2015",1,0
827,"January 4, 2017",1,0
828,"April 3, 2014",1,0
829,"December 10, 2015",1,0
830,"July 14, 2017",1,5
831,"November 10, 2014",1,5
832,"March 15, 2020",1,5
833,"November 2, 2016",1,7
834,"June 14, 2014",1,6
835,"September 25, 2010",1,6
836,"June 8, 2012",1,6
837,"December 31, 2012",1,6
838,"September 6, 2010",1,6
839,"May 4, 2017",1,6
840,"October 28, 2013",1,7
841,"January 14, 2015",1,7
842,"May 26, 2019",1,7
843,"September 1, 2021",1,7
844,"October 3, 2020",1,7
845,"July 3, 2017",1,7
846,"June 20, 2020",1,7
847,"November 29, 2013",1,6
848,"August 25, 2017",1,7
849,"March 31, 2015",1,7
850,"April 10, 2012",1,7
851,"November 9, 2016",1,7
852,"December 1, 2019",1,7
853,"May 31, 2017",1,7
854,"February 22, 2019",1,8
855,"November 15, 2013",1,8
856,"September 9, 2005",1,8
857,"November 19, 2015",1,8
858,"May 4, 2011",1,8
859,"January 2, 2018",1,8
860,"May 31, 2021",1,6
861,"August 20, 2020",1,6
862,"August 13, 2020",1,5
863,"June 3, 2009",1,6
864,"August 27, 2013",1,5
865,"August 14, 2019",1,5
866,"February 1, 2010",1,5
867,"March 7, 2016",1,5
868,"March 2, 2011",1,5
869,"September 11, 2009",1,5
870,"August 23, 2018",1,5
871,"March 6, 2015",1,5
872,"August 2, 2020",1,5
873,"December 17, 2011",1,6
874,"September 20, 2010",1,6
875,"August 6, 2022",1,6
876,"August 15, 2018",1,6
877,"September 21, 2010",1,6
878,"August 12, 2009",1,6
879,"October 16, 2012",1,6
880,"May 4, 2021",1,6
881,"November 13, 2015",1,6
882,"July 30, 2019",1,6
883,"December 4, 2015",1,6
884,"February 12, 2013",1,6
885,"February 10, 2015",1,6
886,"December 22, 2017",1,6
887,"September 14, 2018",1,6
888,"September 14, 2011",1,6
889,"February 21, 2009",1,6
890,"September 3, 2021",1,12
891,"April 15, 2015",1,12
892,"February 16, 2018",1,12
893,"August 28, 2018",1,12
894,"June 13, 2008",1,20
895,"November 20, 2020",1,20
896,"July 14, 2013",1,20
897,"May 2, 2022",1,20
898,"February 16, 2010",1,20
899,"January 18, 2022",1,20
900,"June 22, 2018",1,20
901,"April 6, 2022",1,20
902,"February 26, 2022",1,20
903,"September 27, 2011",1,20
904,"January 9, 2014",1,20
905,"May 23, 2011",1,20
906,"March 23, 2020",1,20
907,"June 12, 2013",1,20
908,"May 16, 2022",1,20
909,"August 23, 2012",1,20
910,"July 14, 2008",1,20
911,"January 7, 2016",1,20
912,"March 14, 2016",1,20
913,"September 30, 2020",1,20
914,"March 27, 2020",1,20
915,"December 3, 2020",1,20
916,"February 24, 2009",1,0
917,"October 25, 2020",1,20
918,"January 27, 2020",1,20
919,"July 12, 2014",1,20
920,"October 31, 2013",1,20
921,"September 23, 2019",1,20
922,"May 8, 2013",1,20
923,"April 29, 2013",1,20
924,"February 19, 2020",1,20
925,"January 4, 2018",1,20
926,"July 30, 2018",1,20
927,"March 28, 2020",1,20
928,"October 1, 2010",1,20
929,"September 28, 2021",1,20
