,Primary Completion Date,count,enrolled
361,"December 6, 2022",1,40
362,"April 26, 2019",1,60
363,"February 2, 2018",1,40
364,"May 25, 2019",1,40
365,January 2021,1,40
366,"August 1, 2018",1,40
367,September 2015,1,40
368,"March 11, 2019",1,40
369,"May 10, 2020",1,38
370,June 2010,1,37
371,"August 28, 2016",1,37
372,"June 30, 2025",1,36
373,"December 25, 2022",1,36
374,"June 15, 2018",1,48
375,"September 23, 2016",1,49
376,"July 20, 2020",1,600
377,"May 29, 2020",1,566
378,"March 31, 2025",1,60
379,"June 30, 2027",1,60
380,May 2025,1,60
381,October 2010,1,60
382,"June 6, 2020",1,60
383,"January 1, 2022",1,60
384,April 2008,1,60
385,"October 4, 2006",1,60
386,"November 24, 2020",1,56
387,"April 9, 2018",1,55
388,"July 9, 2021",1,55
389,"June 7, 2021",1,54
390,"August 17, 2018",1,54
391,"March 1, 2011",1,52
392,"July 31, 2021",1,52
393,"March 2, 2022",1,52
394,"January 26, 2018",1,52
395,"April 3, 2023",1,400
396,"January 20, 2023",1,50
397,"October 30, 2016",1,50
398,February 2007,1,50
399,October 2020,1,50
400,October 2012,1,50
401,"September 13, 2022",1,25
402,"February 1, 2024",1,15
403,"May 27, 2022",1,24
404,"October 9, 2020",1,9
405,"January 13, 2019",1,9
406,"March 31, 2022",1,9
407,"November 18, 2015",1,9
408,"October 15, 2018",1,9
409,"December 5, 2019",1,9
410,"December 11, 2015",1,9
411,"February 25, 2022",1,9
412,May 2019,1,9
413,November 2001,1,8
414,November 2010,1,8
415,"November 27, 2017",1,8
416,"July 24, 2020",1,8
417,"December 15, 2019",1,8
418,November 2024,1,8
419,"November 27, 2020",1,8
420,"September 9, 2020",1,8
421,November 2009,1,8
422,"December 8, 2021",1,7
423,"December 10, 2019",1,7
424,"August 20, 2019",1,7
425,"March 12, 2019",1,7
426,July 2000,1,9
427,"January 31, 2018",1,10
428,"September 17, 2022",1,7
429,"June 22, 2020",1,10
430,"June 1, 2023",1,10
431,"April 5, 2022",1,10
432,"August 2, 2021",1,10
433,"May 4, 2023",1,10
434,"October 22, 2019",1,10
435,"April 2, 2020",1,10
436,"July 30, 2020",1,10
437,"April 1, 2017",1,10
438,"April 5, 2023",1,10
439,"August 15, 2023",1,10
440,"November 5, 2021",1,10
441,"December 14, 2016",1,10
442,"February 20, 2021",1,10
443,"July 21, 2006",1,10
444,"May 15, 2018",1,10
445,"May 22, 2026",1,10
446,August 2016,1,10
447,"May 30, 2019",1,10
448,"December 4, 2017",1,10
449,July 2024,1,10
450,"July 25, 2019",1,10
451,"October 30, 2017",1,7
452,"December 19, 2019",1,6
453,"May 28, 2023",1,24
454,"March 3, 2020",1,3
455,"April 1, 2020",1,2
456,"May 18, 2018",1,2
457,"April 2, 2019",1,2
458,"February 13, 2019",1,2
459,"February 6, 2021",1,1
460,"September 13, 2021",1,1
461,"December 13, 2017",1,1
462,"April 23, 2019",1,1
463,"September 27, 2019",1,1
464,"September 30, 2017",1,1
465,"March 26, 2019",1,1
466,February 2022,1,0
467,"October 25, 2018",1,0
468,September 2027,1,0
469,"December 1, 2025",1,0
470,"June 1, 2024",1,0
471,March 2030,1,0
472,July 2019,1,0
473,"August 21, 2020",1,0
474,"February 25, 2020",1,0
475,"March 19, 2018",1,0
476,"January 1, 2016",1,3
477,"June 1, 2016",1,3
478,"July 9, 2024",1,6
479,"May 20, 2021",1,3
480,"May 15, 2019",1,6
481,"April 14, 2019",1,6
482,"May 17, 2019",1,6
483,"April 30, 2018",1,6
484,"July 28, 2019",1,6
485,February 2011,1,6
486,April 2010,1,6
487,"May 1, 2023",1,6
488,"November 30, 2011",1,5
489,"January 10, 2020",1,5
490,"July 30, 2019",1,5
491,"December 27, 2019",1,5
492,"September 20, 2020",1,5
493,"March 26, 2021",1,5
494,"June 17, 2021",1,5
495,"August 28, 2022",1,5
496,"December 16, 2015",1,5
497,"August 16, 2021",1,4
498,"January 20, 2022",1,4
499,"July 23, 2019",1,4
500,"April 8, 2021",1,4
501,"August 16, 2022",1,11
502,"December 9, 2020",1,11
503,"April 25, 2016",1,11
504,"February 11, 2020",1,20
505,"September 18, 2019",1,20
506,"October 22, 2021",1,20
507,"February 9, 2020",1,20
508,"March 11, 2021",1,20
509,"September 26, 2019",1,20
510,"May 2, 2017",1,20
511,"July 8, 2024",1,20
512,"January 30, 2019",1,20
513,"December 20, 2018",1,20
514,"November 15, 2024",1,20
515,"February 19, 2022",1,20
516,"January 1, 2023",1,20
517,"June 1, 2025",1,20
518,"September 30, 2020",1,20
519,"August 1, 2022",1,20
520,"February 29, 2020",1,20
521,"October 10, 2022",1,20
522,"March 5, 2019",1,19
523,"April 13, 2017",1,19
524,"August 12, 2021",1,19
525,"December 31, 2013",1,18
526,"April 15, 2020",1,20
527,"December 26, 2018",1,20
528,"June 15, 2020",1,11
529,"April 15, 2016",1,20
530,"April 30, 2022",1,24
531,"September 8, 2020",1,24
532,"April 26, 2023",1,24
533,"July 19, 2016",1,24
534,"July 25, 2017",1,24
535,"December 1, 2016",1,24
536,"November 22, 2023",1,24
537,"October 28, 2021",1,24
538,November 2023,1,24
539,"April 30, 2020",1,24
540,"May 11, 2017",1,23
541,"April 11, 2018",1,23
542,"June 29, 2020",1,23
543,"August 4, 2021",1,23
544,"April 20, 2023",1,22
545,"June 26, 2019",1,21
546,"August 1, 2024",1,21
547,September 2008,1,21
548,February 2024,1,20
549,"March 4, 2021",1,20
550,"March 8, 2022",1,20
551,"April 27, 2018",1,18
552,"December 30, 2031",1,18
553,"October 4, 2024",1,18
554,"May 3, 2019",1,18
555,"March 1, 2019",1,13
556,"December 31, 2015",1,13
557,"July 30, 2018",1,13
558,"June 2, 2017",1,12
559,"March 10, 2021",1,12
560,January 2011,1,12
561,"December 20, 2022",1,12
562,"November 12, 2020",1,12
563,"June 10, 2019",1,12
564,"August 31, 2019",1,12
565,"May 18, 2020",1,12
566,"June 10, 2024",1,12
567,"January 4, 2019",1,12
568,"January 31, 2023",1,12
569,August 2025,1,12
570,October 2026,1,12
571,"June 20, 2023",1,12
572,"October 1, 2018",1,12
573,"October 31, 2019",1,12
574,"April 25, 2006",1,11
575,"February 14, 2020",1,11
576,"February 16, 2022",1,14
577,"December 1, 2028",1,14
578,"March 23, 2020",1,14
579,"August 26, 2019",1,16
580,"December 15, 2022",1,18
581,"January 1, 2025",1,18
582,"October 21, 2019",1,18
583,"May 1, 2018",1,17
584,June 2019,1,17
585,"March 1, 2017",1,16
