,Start Date,count,enrolled
581,"February 21, 2020",1,27
582,"April 19, 2021",1,12
583,"November 21, 2017",1,23
584,"June 1, 2014",1,23
585,"May 5, 2015",1,23
586,"March 28, 2017",1,22
587,"May 9, 2017",1,21
588,"March 7, 2018",1,21
589,"August 11, 2021",1,21
590,"May 8, 2020",1,21
591,"May 6, 2014",1,20
592,"December 15, 2022",1,20
593,"February 1, 2021",1,20
594,"July 6, 2015",1,20
595,"September 10, 2018",1,20
596,"February 24, 2017",1,20
597,"June 15, 2021",1,20
598,"March 19, 2018",1,20
599,"January 27, 2020",1,20
600,"September 15, 2020",1,20
601,"January 31, 2015",1,20
602,"December 2, 2020",1,20
603,"May 21, 2017",1,20
604,"March 20, 2022",1,20
605,"March 15, 2016",1,20
606,"January 31, 2014",1,20
607,"November 25, 2021",1,20
608,"August 15, 2017",1,20
609,"February 19, 2017",1,20
610,"June 5, 2017",1,20
611,"January 10, 2018",1,20
612,"April 25, 2020",1,24
613,"November 17, 2016",1,24
614,"November 28, 2017",1,24
615,"October 26, 2016",1,24
616,"September 13, 2022",1,26
617,"November 28, 2014",1,26
618,"April 27, 2020",1,26
619,"November 2, 2016",1,26
620,"December 10, 2019",1,26
621,"October 3, 2016",1,25
622,"September 13, 2018",1,25
623,"October 13, 2017",1,25
624,January 2019,1,25
625,November 2006,1,25
626,"June 6, 2018",1,25
627,"October 14, 2021",1,25
628,June 2008,1,25
629,"November 24, 2021",1,24
630,"March 12, 2020",1,24
631,"February 15, 2020",1,24
632,"November 12, 2020",1,24
633,"November 15, 2019",1,24
634,"November 5, 2018",1,24
635,"June 14, 2019",1,24
636,"September 8, 2019",1,24
637,"June 20, 2017",1,24
638,"February 17, 2021",1,24
639,"February 29, 2012",1,24
640,"June 28, 2021",1,24
641,"November 10, 2020",1,24
642,"January 1, 2013",1,24
643,"August 24, 2020",1,24
644,November 2019,1,20
645,"November 16, 2020",1,20
646,"July 20, 2021",1,20
647,"May 5, 2020",1,14
648,"September 25, 2018",1,15
649,"June 20, 2016",1,15
650,"March 15, 2018",1,15
651,"October 5, 2020",1,15
652,"January 6, 2020",1,15
653,"May 30, 2022",1,15
654,"December 15, 2020",1,15
655,"April 19, 2022",1,15
656,"March 14, 2016",1,15
657,"April 1, 2017",1,15
658,December 2009,1,15
659,"June 4, 2014",1,15
660,"December 1, 2023",1,14
661,"April 12, 2018",1,14
662,"May 17, 2019",1,15
663,"June 18, 2020",1,14
664,"June 30, 2018",1,13
665,"February 1, 2013",1,13
666,"October 7, 2019",1,12
667,"October 27, 2020",1,12
668,"February 24, 2021",1,12
669,"May 22, 2017",1,12
670,"January 7, 2013",1,12
671,"May 17, 2022",1,12
672,"June 6, 2017",1,12
673,"April 14, 2021",1,12
674,"June 28, 2018",1,12
675,"April 14, 2020",1,12
676,"November 21, 2019",1,15
677,December 2007,1,15
678,"February 1, 2022",1,20
679,"January 4, 2019",1,18
680,"March 13, 2019",1,20
681,"December 13, 2017",1,20
682,"November 20, 2015",1,20
683,"August 18, 2018",1,20
684,"December 15, 2017",1,20
685,"June 12, 2020",1,20
686,"March 25, 2015",1,20
687,"November 27, 2017",1,19
688,"February 24, 2015",1,19
689,"November 20, 2014",1,19
690,"May 2, 2018",1,18
691,"August 12, 2019",1,18
692,"May 1, 2015",1,18
693,"October 29, 2018",1,18
694,"February 16, 2019",1,16
695,"August 9, 2021",1,18
696,"October 7, 2018",1,18
697,"October 1, 2009",1,18
698,December 2008,1,18
699,"December 20, 2018",1,18
700,"March 5, 2021",1,18
701,"July 7, 2015",1,18
702,"May 2, 2019",1,18
703,"July 23, 2020",1,17
704,"March 17, 2021",1,16
705,July 2023,1,16
706,"February 6, 2020",1,16
707,"September 30, 2021",1,16
708,"July 9, 2020",1,5000
